c,time_space_ex,time_phaver
0.10,14,2780
0.11,14,2671
0.12,48,2841
0.13,46,2785
0.14,41,2794
0.15,40,2749
0.16,63,856
0.17,15,988
0.18,16,972
0.19,21,977
0.20,14,981
0.21,17,1015
0.22,17,907
0.23,15,975
0.24,16,1012
0.25,17,1003
0.26,23,1009
0.27,12,993
0.28,17,1028
0.29,14,979
0.30,6,1024
0.31,10,1072
0.32,18,2533
0.33,30,2674
0.34,11,2554
0.35,11,2844
0.36,15,2917
0.37,11,2942
0.38,38,3135
0.39,16,2963
0.40,18,3144
0.41,18,4444
0.42,43,4325
0.43,44,4564
0.44,50,4655
0.45,17,4742
0.46,18,5220
0.47,22,5414
0.48,47,5460
0.49,27,5572
0.50,11,5356
0.51,55,5895
0.52,25,5861
0.53,12,6299
0.54,16,7112
0.55,17,7384
0.56,18,7105
0.57,20,7661
0.58,19,7154
0.59,25,7532
0.60,52,7677
0.61,36,8862
0.62,23,9388
0.63,15,9587
0.64,18,6283
0.65,16,6633
0.66,18,6963
0.67,18,7286
0.68,18,7488
0.69,26,7437
0.70,17,7427
